1.8481E-03 & 5.1974E-04 & 7.9714E-04 & 2.64 & 2.61   
1.8793E-03 & 5.2935E-04 & 8.0128E-04 & 7.38 & 3.03
1.8804E-03 & 5.2477E-04 & 7.9274E-04 & 18.86 & 3.07
1.5760E-03 & 3.8559E-04 & 6.5579E-04 & 12.49 & 3.99
1.5645E-03 & 3.7379E-04 & 6.3128E-04 & 36.69 & 6.45
1.5757E-03 & 3.7336E-04 & 6.2828E-04 & 92.30 & 5.75
1.5760E-03 & 3.8559E-04 & 6.5579E-04 & 25.00 & 5.90
1.5501E-03 & 3.6575E-04 & 6.4058E-04 & 70.58 & 9.74
1.5812E-03 & 3.8773E-04 & 6.4740E-04 & 185.05 & 11.09
1.5760E-03 & 3.8559E-04 & 6.5579E-04 & 37.09 & 7.55
1.5501E-03 & 3.6575E-04 & 6.4058E-04 & 104.52 & 14.33
1.5812E-03 & 3.8773E-04 & 6.4740E-04 & 292.84 & 15.44
1.8358E-03 & 3.4906E-04 & 4.9314E-04 & 2.64 & 2.45
1.8287E-03 & 3.4661E-04 & 4.9140E-04 & 7.38 & 3.03
1.8402E-03 & 3.4937E-04 & 4.9298E-04 & 18.86 & 3.00
1.6911E-03 & 3.3614E-04 & 4.8197E-04 & 12.49 & 4.00
1.6871E-03 & 3.3546E-04 & 4.8198E-04 & 36.69 & 6.15
1.6991E-03 & 3.3790E-04 & 4.8141E-04 & 92.30 & 6.17
1.6911E-03 & 3.3614E-04 & 4.8197E-04 & 25.00 & 6.03
1.6857E-03 & 3.3510E-04 & 4.8308E-04 & 70.58 & 9.34
1.6978E-03 & 3.3766E-04 & 4.8285E-04 & 185.05 & 10.36
1.6911E-03 & 3.3614E-04 & 4.8197E-04 & 37.09 & 7.77
1.6857E-03 & 3.3510E-04 & 4.8308E-04 & 104.52 & 13.84
1.6978E-03 & 3.3766E-04 & 4.8285E-04 & 292.84 & 13.06
8.5847E-04 & 2.2284E-04 & 3.1202E-04 & 2.64 & 2.41
7.9127E-04 & 1.9526E-04 & 2.9580E-04 & 7.38 & 2.86
8.0491E-04 & 1.9578E-04 & 2.9669E-04 & 18.86 & 3.13
9.1471E-04 & 2.2555E-04 & 3.1371E-04 & 12.49 & 4.02
7.3172E-04 & 1.8017E-04 & 2.8054E-04 & 36.69 & 5.45
7.3172E-04 & 1.8017E-04 & 2.8054E-04 & 92.30 & 6.48
8.0458E-04 & 2.0706E-04 & 2.9542E-04 & 25.00 & 5.90
6.2547E-04 & 1.6451E-04 & 2.5945E-04 & 70.58 & 9.23
6.3424E-04 & 1.6400E-04 & 2.5849E-04 & 185.05 & 11.13
7.2437E-04 & 1.8782E-04 & 2.8016E-04 & 37.09 & 7.83
6.2547E-04 & 1.6451E-04 & 2.5945E-04 & 104.52 & 12.42
6.2547E-04 & 1.6451E-04 & 2.5945E-04 & 292.84 & 13.95
1.0787E-03 & 3.3948E-04 & 5.5145E-04 & 2.64 & 2.45
1.0823E-03 & 3.3992E-04 & 5.4697E-04 & 7.38 & 2.96
1.0885E-03 & 3.4462E-04 & 5.5231E-04 & 18.86 & 3.05
1.0753E-03 & 3.4955E-04 & 5.7100E-04 & 12.49 & 3.97
1.1042E-03 & 3.5395E-04 & 5.6747E-04 & 36.69 & 6.08
1.1238E-03 & 3.5794E-04 & 5.7330E-04 & 92.30 & 6.67
8.4691E-04 & 2.8979E-04 & 5.2553E-04 & 25.00 & 5.74
8.6649E-04 & 2.9405E-04 & 5.2874E-04 & 70.58 & 10.29
8.8877E-04 & 2.9821E-04 & 5.3796E-04 & 185.05 & 9.00
8.5021E-04 & 2.9579E-04 & 5.2707E-04 & 37.09 & 7.54
8.6350E-04 & 2.9183E-04 & 5.2837E-04 & 104.52 & 13.05
8.8597E-04 & 2.9594E-04 & 5.3759E-04 & 292.84 & 13.82
